Station Code / Callsign,Station Name / Unit-Type,Address,Comments
F43,Barking,Alfreds Way,
F431,DPL,,DPL 224 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 TKC)
F432,DPL,,DPL 283 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 YSL)
F437,HDU,,HDU 2 - 2022 Scania L320 B6X2 4NB / Emergency One (#EX22 HLK) (Ex-G217)
,FLT,,FLT 05 - 2022 Moffett Mounty Forklift
F439,HLU,,HLU 2 - 2010 Mercedes Benz Atego 1626 (#WN60 AYA)
F43S,ORV,,Station Manager
,,MV,MV 07-T - 2020 MAN TGE 3.180 (#DE70 VSN)
,,MV,MV 10-T - 2020 MAN TGE 3.180 (#DE70 VST)
,,MV,MV 11-T - 2020 MAN TGE 3.180 (#DE70 VSU)
,,MV,MV 13-T - 2020 MAN TGE 3.180 (#DE70 VSX)
,,,
F44,East Ham,210 High Street South,Built 1960
F441,DPL,,DPL 228 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FGX)
F446,FRU,,FRU 42 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WX71 VJV)
F44S,ORV,,Station Manager
USAR Support Carrier,,,UVL03-4 - 2019 MAN TGE 4.180
Prime Mover 109,PM,,PM 109 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VOU)
Prime Mover 124,PM,,PM 124 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VPT)
USAR1 003,Structural Collapse Pod,,
USAR2 003,Major Transport Pod,,
USAR3 014,Support Pod,,
USAR4 012,Multi-Purpose Vehicle Pod,,
USAR5 010,Timber Pod,,
,,,
F45,Plaistow,145 Prince Regent Lane,Built 2014
F451,DPL,,DPL 315 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU70 AOG)
F45S,ORV,,Station Manager
CU3,CSU,,CSU 14 - 2023 Optare Solo SR / WH Bence (#LK23 CXN)
,,,
F57,Harold Hill,"Units 8&9, Falcon Business Centre, Ashton Road",
F571,DPL,,DPL 204 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU67 JFE)
F57S,ORV,,Station Manager
,,,
Western Command (G),,,
G21,Harrow,500 Pinner Road,Built 1937
G211,DPL,,DPL 310 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX20 ZHH)
G217,HDU,,HDU 3 - 2022 Scania L320 B6X2 4NB / Emergency One (#EX22 HLM)
,FLT,,FLT 06 - 2022 Moffett Mounty Forklift
G219,HLU,,HLU 1 - 2010 Mercedes Benz Atego 1626 (#WP10 HLG)
G21S,ORV,,CEV 45 - 2023 Volkswagen ID3 Life Pro (#LS23 URV)
,DPL,,DPL 160 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JUY) (Ex-A401)
,DPL,,DPL 159 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVA)
,DPL,,DPL 158 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVC)
,DPL,,DPL 157 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVD)
,DPL,,DPL 156 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVE)
,DPL,,DPL 155 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVF)
,DPL,,DPL 154 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVG)
,DPL,,DPL 153 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVH)
,DPL,,DPL 152 - 2017 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX66 JVJ)
,FRU,,FRU 27 - 2021 Mercedes Benz Atego 1527F / Emergency One (#WR21 THU)
,UVM,,UVM 04 - 2019 MAN TGI 3.140 (#DF19 YUR)
,,,
G22,Stanmore,650 Honeypot Lane,Built 1960
G221,DPL,,DPL 223 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FDP)
G222,DPL,,DPL 270 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 HZY)
G22S,ORV,,Station Manager
Prime Mover 092,PM,,PM 092 - 2004 MAN 26.363 TG-A Hooklift Rigid (#WX54 VNW)
MDR 006,Mass Decontamination Rerobe Pod,,
MDD 016,Mass Decontamination Disrobe Pod,,
G23,Hillingdon,3-4 Uxbridge Road,Built 1964
G231,DPL,,DPL 249 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WP68 TJV)
G232,DPL,,DPL 293 - 2019 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 ZBE)
G23S,ORV,,Station Manager
,,,
G24,Southall,17-19 High Street,Built 1964
G241,DPL,,DPL 211 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU18 FBC)
G242,DPL,,DPL 258 - 2018 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WU19 JLX)
G24S,ORV,,Station Manager
,,,
G25,Ealing,60-64 Uxbridge Road,Built 1933
G251,DPL,,DPL 298 - 2020 Mercedes Benz Atego 1327 / Emergency One (2000/1365/75F) (#WX69 ZFH)
