Wach- /Funkrufname	Typ	Kommentar
Florian Hamburg 22 RTW A	RTW	
Florian Hamburg 22 RTW B	RTW	
Florian Hamburg 22 RTW C	RTW	
Florian Hamburg 22 RTW D	RTW	
Florian Hamburg 22 RTW K	RTW	
Florian Hamburg 22 RTW ?	RTW	Technische Reserve
Florian Hamburg 22 GW-MANV 1	GW-MANV	
+ NEF Außenstelle Ak St.Georg	Lohmühlenstraße 5	
Florian Hamburg 22 NEF A	NEF	
		
F 23 Feuer- und Rettungswache Barmbek	Maurienstrasse 7-9	22305 Hamburg
Florian Hamburg 20 BDI 1	ELW1	B-Dienst
Florian Hamburg 23 ELW 1	ELW1	C-Dienst
Florian Hamburg 23 HLF 1	HLF 20	
Florian Hamburg 23 HLF 2	HLF 20	(Mo-Sa tagsüber)
Florian Hamburg 23 DLK 1	DLK 26/12	Mercedes / Rosenbauer
Florian Hamburg 23 GW1 1	GW1	
Florian Hamburg 23 GW-SEGH 1	GW-Höhenrettung	
Florian Hamburg 23 RTW A	RTW	
Florian Hamburg 23 RTW B	RTW	
Florian Hamburg 23 RTW C	RTW	war a.d. ab 04.01.2021, dafür 11 RTW F neu, seit Ende 2021 Nachfolger vom 20-RTW-C
Florian Hamburg 23 RTW K	RTW	
Florian Hamburg 23 RTW ?	RTW	Technische Reserve
Florian Hamburg 23 GW-SAN	GW-San	Doppelbesetzung HLF1
+ RW Barmbek-Nord	AK Barmbek Rübenkamp 220	
Florian Hamburg 23 NEF A	NEF	
Florian Hamburg 23 RTW F	RTW	soll in Zukunft vom DRK besetzt werden
+RTW Außenstelle Hinschenfelde	Lesserstrasse 180d am BWK	besetzt von Billstedt
Florian Hamburg 23 RTW G	RTW	
		
F 24 Feuer- und Rettungswache Sasel	Saseler Kamp 2	22393 Hamburg
Florian Hamburg 24 ELW 1	ELW1	C-Dienst
Florian Hamburg 24 HLF 1	HLF 20	
Florian Hamburg 24 DLK 1	DLK 23/12	Mercedes / Rosenbauer
Florian Hamburg 24 GW1 1	GW1	
Florian Hamburg 24 NEF A	NEF	
Florian Hamburg 24 RTW A	RTW	
Florian Hamburg 24 RTW B	RTW	
Florian Hamburg 24 RTW C	RTW	Ehemals 20-RTW-A
Florian Hamburg 24 RTW K	RTW	
Florian Hamburg 24 RTW L	MZF	Mit Tragestuhl für Krankentransporte ausgestattet.
Florian Hamburg 24 RTW ?	RTW	Technische Reserve
+ RTW Außenstelle Bramfeld	Ellernreihe 139	
Florian Hamburg 24 RTW F	RTW	Betrieb durch die ASB Rettungsdienst Hamburg GmbH
+ RTW Außenstelle Lemsahl-Mellingstedt	Lemsahler Landstraße 220	
Florian Hamburg 24 RTW P	RTW	Besetzt durch den Malteser Hilfsdienst Hamburg
+ RW Meiendorf	Bei der Neuen Münze 17	22145 Hamburg
Florian Hamburg 24 RTW G	RTW	
Florian Hamburg 24 RTW H	RTW	
Florian Hamburg 24 RTW I	RTW	7-19
		
F 25 Feuer- und Rettungswache Billstedt	Wöhlerstraße 28	22113 Hamburg
Florian Hamburg 25 ELW 1	ELW1	C-Dienst
Florian Hamburg 25 HLF 1	HLF 20	
Florian Hamburg 25 HLF 2	HLF 20	Doppelfunktion
Florian Hamburg 25 DLK 1	DLK 23/12	Mercedes / Rosenbauer
Florian Hamburg 25 GW-R2 1	GW-R2	
Florian Hamburg 25 GW1 1	GW1	
Florian Hamburg 25 GW-SEGT 1	GW-Taucher	
Florian Hamburg 25 GW-SEGT 2	GW-Taucher	Reserve
Florian Hamburg 25 GW-TEL 1	GW-TEL	
Florian Hamburg 25 WLF 1	WLF	
	AB-Atemschutz	
	AB-Ladebordwand	
	AB-Pritsche	
	AB-Sonderlöschmittel	
	AB-Wasser	
	AB-Rüst	
Florian Hamburg 25 RTW A	RTW	
Florian Hamburg 25 RTW B	RTW	
Florian Hamburg 25 RTW C	RTW	
Florian Hamburg 25 RTW K	RTW	
+ NEF Außenstelle Boberg	Bergedorfer Strasse 10	am BUK Boberg
Florian Hamburg 25 NEF A	NEF	
		
F 26 Feuer- und Rettungswache Bergedorf	Sander Damm 2	21031 Hamburg
Florian Hamburg 26 ELW 1	ELW1	C-Dienst
Florian Hamburg 26 HLF 1	HLF 20	
Florian Hamburg 26 DLK 1	DLK 23/12	Iveco / Magirus
Florian Hamburg 26 GW1 1	GW1	
Florian Hamburg 26 GW-TEL 1	GW-TEL	
Florian Hamburg 26 RTW A	RTW	
Florian Hamburg 26 RTW B	RTW	HH-2022
Florian Hamburg 26 RTW C	RTW	
Florian Hamburg 26 RTW D	RTW	
Florian Hamburg 26 RTW K	RTW	
Florian Hamburg 26 RTW L	MZF	Mit Tragestuhl für Krankentransporte ausgestattet.
Florian Hamburg 26 RTW ?	RTW	Technische Reserve
+ RTW Außenstelle Mümmelmannsberg	Asbrookdamm 32	
Florian Hamburg 26 RTW F	RTW	besetzt durch das DRK
+ RW Allermöhe	Wilhelm-Iwan-Kehre 5	21035 Hamburg
Florian Hamburg 26 RTW G	RTW	
Florian Hamburg 26 RTW H	RTW	
		
F 31 Feuer- und Rettungswache Harburg	Großmoorbogen 8	21079 Hamburg
Florian Hamburg 31 ELW 1	ELW1	C-Dienst
Florian Hamburg 31 HLF 1	HLF 20	
Florian Hamburg 31 HLF 2	HLF 20	
Florian Hamburg 31 DLK 1	DLK 26/12	Mercedes / Rosenbauer
Florian Hamburg 31 GW1 1	GW1	
Florian Hamburg 31 GW-TEL 1	GW-TEL	
Florian Hamburg 30 BDI 1	ELW1	
	FwA-SWW	HH-8036
Florian Hamburg 31 RTW A	RTW	
Florian Hamburg 31 RTW B	RTW	
Florian Hamburg 31 RTW K	RTW	
Florian Hamburg 31 RTW ?	RTW	Technische Reserve
Florian Hamburg 31 GW-SAN	GW-San	Doppelbesetzung HLF1
+ Kampfmittelräumdienst		nur Räumlich untergebracht, siehe F045
+ Außenstelle Bootsstation	Dampfschiffsweg	siehe F 11
		
F 32 Feuer- und Rettungswache Wilhelmsburg Technik und Umweltwache	Neuhöfer Brückenstraße 2	21107 Hamburg
Florian Hamburg 32 WLF A	WLF	
Florian Hamburg 32 WLF B	WLF	
Florian Hamburg 32 WLF C	WLF	
Florian Hamburg 32 WLF D	WLF	
Florian Hamburg 32 WLF E	WLF	
Florian Hamburg 32 WLF F	WLF	
Florian Hamburg 32 WLF G	WLF	
Florian Hamburg 32 Kran 1	FwK	
Florian Hamburg 32 TMF53 1	TMF53	
Florian Hamburg 32 SMF 1	SMF	
Florian Hamburg 32 UDI 1	ELW1	U-Dienst
Florian Hamburg 32 UDI 2	ELW1	U-Dienst Reservefahrzeug - 30/3 -ehem. 16 SMF
Florian Hamburg GW-ATF	GW-ATF	Analytische Task Force
Florian Hamburg ELW-ATF	ELW1	Analytische Task Force
	Gabelstapler	
	AB-ABC	
	AB-Analytik	
	AB-Besprechung	
	AB-Dekon	
	AB-GA 200 Zubehör	
	AB-GAB	Gabelstapler
	AB-Grindex Pumpen	
	AB-GSG	
	AB-Hafen	
	AB-KFZ-Versorgung	
	AB-Kran	
	AB-Kranpritsche	
	AB-Mulde	
	AB-Mulde	
	AB-Pritsche	
	AB-Pulver	
	AB-Rüstmaterial	
	AB-Sand	Sandsäcke
	AB-Schaum	
	AB-Schaum	
	AB-Schlauch	
	AB-Ölsperren	der Behörde für Stadtentwicklung und Umwelt.
	FwA-GA 200	
