Wach- /Funkrufname,Typ,Kommentar
Florian Dithmarschen 45-41-01,MLF,
,,
FF Osterrade,Albersdorfer Straße 8 / Dorfstraße 2,25767 Osterrade
Florian Dithmarschen 46-41-01,TSF-W,
,,
FF Offenbüttel,Hauptstraße 4a,25767 Offenbüttel
Florian Dithmarschen 47-44-01,LF8-6,
,,
FF Tensbüttel-Röst,Dorfstraße 6,25767 Tensbüttel-Röst
Florian Dithmarschen 48-44-01,LF8-6,
Florian Dithmarschen 48-47-01,LF16-12,
,,
FF Albersdorf,Süderstraße 38a,25767 Albersdorf
Florian Dithmarschen 49-18-01,MTW,
Florian Dithmarschen 49-45-01,LF8-6,
Florian Dithmarschen 49-46-01,LF20,
Florian Dithmarschen 03-14-01,MZF LZG Dithmarschen,
,,
FF Barlt,Schulstraße 25,25719 Barlt
Florian Dithmarschen 56-41-01,StLF10-6,
Florian Dithmarschen 04-50-03,RW Feuerwehrbereitschaft,
,,
FF Gudendorf,Schulstrasse 16,25693 Gudendorf
Florian Dithmarschen 57-14-01,MZF,
Florian Dithmarschen 57-40-01,TSF,
,,
FF Windbergen,Ringstraße 14 A,25729 Windbergen
Florian Dithmarschen 58-14-01,MZF,
Florian Dithmarschen 58-41-01,TSF-W,
,,
FF Elpersbüttel,Süderstraße 1,25704 Elpersbüttel
Florian Dithmarschen 59-43-01,LF8-6,
Florian Dithmarschen 05-61-01,SW-KatS,
,,
FF Busenwurth,Deichstraße 13 A,25719 Busenwurth
Florian Dithmarschen 60-18-01,MTW,
Florian Dithmarschen 60-40-01,TSF,
,,
FF Nordermeldorf OF Christianskoog,Koogstrasse 9A,25704 Nordermeldorf
Florian Dithmarschen 61-40-01,TSF,
,,
FF Nordermeldorf OF Barsfleth-Thalingburen,Denkmalsweg 1,25704 Nordermeldorf
Florian Dithmarschen 61-41-01,TSF-W,
,,
FF Epenwöhrden,Grüner Weg 4,25704 Epenwöhrden
Florian Dithmarschen 64-44-01,LF10,
,,
FF Bargenstedt,Dorfstraße 7,25704 Bargenstedt
Florian Dithmarschen 65-20-01,TLF16-24,
Florian Dithmarschen 65-48-01,HLF10,
,,
FF  Krumstedt,Hauptstraße 35,25727 Krumstedt
Florian Dithmarschen 66-41-01,MLF,
Florian Dithmarschen 66-49-01,sonLF,
,,
FF Sarzbüttel,Hauptstraße 10a,25785 Sarzbüttel
Florian Dithmarschen 67-41-01,TSF-W,
,,
FF Wolmersdorf,Hauptstraße 4,25704 Wolmersdorf
Florian Dithmarschen 68-40-01,TSF,
,,
FF Nindorf,Birkenweg 7,25704 Nindorf
Florian Dithmarschen 69-44-01,LF8-6,
Florian Dithmarschen 04-11-04,ELW 1 Feuerwehrbereitschaft,
Florian Dithmarschen 04-47-04,LF-Kats Bund,
,,
FF Odderade,Dorfstraße 7a,25785 Odderade
Florian Dithmarschen 70-41-01,TSF-W,
,,
Werkfeuerwehren,,
,,
WF Sasol Brunsbüttel,Fritz-Staiger-Straße 15,25541 Brunsbüttel
Florian Dithmarschen 11-14-01,MZF,
Florian Dithmarschen 11-29-01,ULF1,
Florian Dithmarschen 11-29-02,ULF2,
