----- Regionalstelle Schleswig: -----		
		
	Anhänger Transport 0,5t	
		
		
THW OV Tönning	Dithmarscher Straße 13	25832 Tönning
>> Technischer Zug		
>>>>> Zugtrupp		
Heros Tönning 21/10	MTW ZTr	
		
>>> Bergungsgruppe		
Heros Tönning 22/51	GKW I	
	Anhänger BDF Lafette EGS	
		
>>> Fachgruppe N		
Heros Tönning 25/54	MzKW	
	Anh. NEA 50kVA LiMa	
		
>>> OV Stab		
Heros Tönning 86/25	MTW	
Heros Tönning 86/xx	Mehrzweckboot	
	Anh Logistik	
	Anh Boot	
	Anh SEA 21kVA Notstromanlage der Landespolizei SH	
		
		
THW Stützpunkt Louisenlund	Louisenlund 9	24357 Güby
Heros Louisenlund 22/51	GKW	
Heros Louisenlund 86/25	MTW-OV	
	Mehrzweckarbeitsboot	
	Anhänger NEA 100 kVA	
		
----- Regionalstelle Lübeck: -----		
Heros Lübeck 85/21	PKW	Fahrzeug der Geschäftsstelle
		
		
THW OV Ahrensburg	Roggenweg 5	22926 Ahrensburg
>> 1. Technischer Zug		
>>>>> Zugtrupp		
Heros Ahrensburg 21/10	MTW ZTr	
		
>>> Bergungsgruppe		
Heros Ahrensburg 22/51	GKW	
	Anhänger EGS	
		
>>> Fachgruppe N		
Heros Ahrensburg 24/54	MzKW	
	Anhänger SEA 38 kVA	
	Anhänger NEA 20 kVA LiMa	
		
>>> Fachgruppe Elektroversorgung		
Heros Ahrensburg 32/43	Lkw Lbw	
	Anhänger NEA 175 kVA	
		
>>> Fachgruppe Infrastruktur		
Heros Ahrensburg 31/34	MLW IV	
Heros Ahrensburg 31/32	MLW II	
Heros Ahrensburg 31/25	MTW Fgr	
		
>>>>> Trupp Unbemannte Luftfahrtsysteme		
Heros Ahrensburg 76/25	MTW FGr	
		
>>> OV-Stab		
Heros Ahrensburg 86/21	PKW OV	
	Anhänger Jugend	
		
		
THW OV Bad Oldesloe	Elly-Heuss-Knapp-Straße 16	23843 Bad Oldesloe
>> Technischer Zug		
>>>>> Zugtrupp		
