Ortsfeuerwehr Brietlingen	Kleine Straße 32	21382 Brietlingen
Florian Lüneburg 19-12-22	ELW 2	
Florian Lüneburg 19-17-22	MTF	
Florian Lüneburg 19-47-22	LF 20/16	2.900l Wasser
		
Ortsfeuerwehr Lüdershausen	Dorfstraße 33A	21382 Brietlingen
Florian Lüneburg 19-17-24	MTF	
Florian Lüneburg 19-40-24	TSF	
		
Ortsfeuerwehr Hohnstorf (Elbe)	Zum Roten Hahn 1	21522 Hohnstorf (Elbe)
Florian Lüneburg 19-17-30	MTF/ELW	
Florian Lüneburg 19-47-30	LF 16/12	2.400l Wasser
		
Ortsfeuerwehr Barförde	Barförder Elbdeich 26	21522 Hittbergen
Florian Lüneburg 19-41-32	TSF-W	
		
Ortsfeuerwehr Hittbergen	Dorfstraße 24	21522 Hittbergen
Florian Lüneburg 19-17-34	MTF	
Florian Lüneburg 19-40-34	TSF	
		
Ortsfeuerwehr Echem	Dorfstraße 6a	21379 Echem
Florian Lüneburg 19-47-40	LF 16/25	
Florian Lüneburg 19-17-40	MTW	
Florian Lüneburg 82-70-11	GW-Mess	ABC-Zug Landkreis Lüneburg
		
Ortsfeuerwehr Jürgenstorf	Jürgenstorfer Straße 26	21379 Lüdersburg
Florian Lüneburg 19-17-42	MTF	
Florian Lüneburg 19-40-42	TSF	
		
Ortsfeuerwehr Lüdersburg	Friedhofsweg 2	21379 Lüdersburg
Florian Lüneburg 19-41-44	TSF-W	
