Kennung	Feuerwehr	Funk	Fahrzeugtyp
		Florian Lauenburg 32/22-01	TLF 16/25
		Florian Lauenburg 32/45-01	LF 8/6
		Florian Lauenburg 32/47-01	LF-KatS-SH
			
33	Sahms	Auf den Wischhöfen 1	21493 Sahms
		Florian Lauenburg 33/18-01	MTW
		Florian Lauenburg 33/41-01	MLF
			
	Elmenhorst	Alte Dorfstraße 6	21493 Elmenhorst
		Florian Lauenburg 33/14-01	MZF
		Florian Lauenburg 33/18-01	MTW
		Florian Lauenburg 33/40-01	TSF-TH
		Florian Lauenburg 33/48-01	LF 16/12
			
34	Kankelau	Elmenhorster Weg 9	21514 Kankelau
		Florian Lauenburg 34/40-01	TSF
			
	Groß Pampau	Hauptstraße 28	21493 Groß Pampau
		Florian Lauenburg 34/44-01	LF 8
			
35	Fuhlenhagen	Dorfstraße 48a	21493 Fuhlenhagen
		Florian Lauenburg 35/42-01	LF 8
			
36	Havekost	Lindenstraße	21493 Havekost
		Florian Lauenburg 36/40-01	TSF
			
	Grabau	Grover Weg 8	21493 Grabau
		Florian Lauenburg 36/14-01	MZF
		Florian Lauenburg 36/46-01	LF 10
			
	Grove	Schulstraße 9	21493 Grove
		Florian Lauenburg 36/41-02	TSF-W
			
37	Kasseburg	Am Brink 17a	22929 Kasseburg
		Florian Lauenburg 37/45-01	HLF 10/6
			
	Kuddewörde	Lauenburger Straße 112	22958 Kuddewörde
		Florian Lauenburg 37/14-01	MZF
		Florian Lauenburg 37/46-01	LF 20/35
		Florian Lauenburg 37/48-01	LF 16/12 (HLF 16/20)
			
38	Mühlenrade	Dorfstraße 36	21493 Mühlenrade
		Florian Lauenburg 38/41-01	TSF-W
			
	Hamfelde-Dahmker	Am Mühlenteich 4	22929 Hamfelde
		Florian Lauenburg 38/14-01	MZF
		Florian Lauenburg 38/41-02	TSF-W
			
39	Basthorst	Dorfstraße 30	21493 Basthorst
		Florian Lauenburg 39/41-01	TSF-W
			
	Möhnsen	Lankener Weg 3	21493 Möhnsen
		Florian Lauenburg 39/43-01	LF 8/6
			
40	Büchen	Raiffeisenstraße 4	21514 Büchen
		Florian Lauenburg 40/11-01	ELW 1
		Florian Lauenburg 40/18-01	MTW
		Florian Lauenburg 40/46-01	LF 20/16
		Florian Lauenburg 40/48-02	HLF 20
		Florian Lauenburg 40/51-01	RW 2
		Florian Lauenburg 40/67-01	GW-L1
			FwA-Stromerzeuger 20kVA
			FwA-TSA
			FwA-Transport
			Krad
			
	Büchen-Dorf	Schmiedestraße 10	21514 Büchen
		Florian Lauenburg 40/14-01	MZF
		Florian Lauenburg 40/44-01	LF 8/6
			
41	Güster	Roseburger Straße 28	21514 Güster
		Florian Lauenburg 41/18-01	MTW
		Florian Lauenburg 41/40-01	TSF
		Florian Lauenburg 41/41-01	TSF-W
			Feuerwehrboot
			Schlauchanhänger
			
42	Roseburg	Trammer Weg 2	21514 Roseburg
		Florian Lauenburg 42/41-01	TSF-W
			
