Funkrufname	Fahrzeugtyp	Kommentare
Pelikan Lauenburg 70-78-06	MRB	
Pelikan Lauenburg 70-98-01	GW-Betr	
		
DRK OV Ratzeburg	Heinrich-Hertz-Straße 11	23909 Ratzeburg
Rotkreuz Lauenburg 70-10-01	KdoW	KV Herzogtum Lauenburg, Standort unbekannt
Rotkreuz Lauenburg 70-18-01	MTW	KV Herzogtum Lauenburg, Standort unbekannt
Rotkreuz Lauenburg 70-91-01	KTW	
Rotkreuz Lauenburg xx-xx-xx	GW	Standort Gülzow
		
DLRG OG Groß Sarau	Schmiedekoppel 14	23627 Groß Sarau
Pelikan Lauenburg 73-14-01	MZF	
Pelikan Lauenburg 73-15-01	Piaggio Ape 50	
Pelikan Lauenburg 73-78-01	MRB	Orca
Pelikan Lauenburg 73-78-02	MRB	Heini
