Funk	Feuerwehr	Amt/Stadt	Adresse
Florian Steinburg 70	FF Aasbüttel	Amt Schenefeld	K 60, 25560 Aasbüttel
Florian Steinburg 70-42-01	LF 8		
			
Florian Steinburg 71	FF Besdorf	Amt Schenefeld	Dorfstraße 31, 25584 Besdorf
Florian Steinburg 71-40-01	TSF-GW		
			
Florian Steinburg 72	FF Bokhorst	Amt Schenefeld	Lohmühler Weg, 25560 Bokhorst
Florian Steinburg 72-40-01	TSF		
			
Florian Steinburg 73	FF Christinenthal	Amt Schenefeld	B 430, 25593 Christinenthal
Florian Steinburg 73-41-01	TSF-W		
			
Florian Steinburg 74	FF Gribbohm	Amt Schenefeld	Dorfstraße 39, 25596 Gribbohm
Florian Steinburg 74-20-01	TLF 8-18		
Florian Steinburg 74-42-01	LF 8		
			
Florian Steinburg 75	FF Holstenniendorf	Amt Schenefeld	Hauptstraße, 25584 Holstenniendorf
Florian Steinburg 75-44-01	LF 8-6		
			
Florian Steinburg 76	FF Looft	Amt Schenefeld	Raiffeisenstraße, 25582 Looft
Florian Steinburg 76-40-01	TSF		
			
Florian Steinburg 77	FF Nienbüttel-Agethorst-Bokelrehm	Amt Schenefeld	Hörstenweg 2, 25596 Nienbüttel
Florian Steinburg 77-41-01	TSF-W		
			
Florian Steinburg 78	FF Oldenborstel	Amt Schenefeld	Dorfstraße, 25560 Oldenborstel
Florian Steinburg 78-41-01	TSF-W		
			
Florian Steinburg 79	FF Pöschendorf-Hadenfeld-Kaisborstel	Amt Schenefeld	Schulstraße, 25560 Pöschendorf
Florian Steinburg 79-41-01	TSF-W		
			
Florian Steinburg 80	FF Puls	Amt Schenefeld	Schulstraße, 25560 Puls
Florian Steinburg 80-44-01	LF 8-6		
			
Florian Steinburg 81	FF Reher	Amt Schenefeld	Bahnhofstraße, 25593 Reher
Florian Steinburg 81-14-01 A	MZF		
Florian Steinburg 81-41-01	MLF		
			
Florian Steinburg 82	FF Schenefeld-Siezbüttel	Amt Schenefeld	Marktstraße 2, 25560 Schenefeld
Florian Steinburg 82-14-01	MZF		
Florian Steinburg 82-22-01	TLF 16-25		
Florian Steinburg 82-45-01	LF 10-6		
Florian Steinburg 82-50-01	RW 1		
			
Florian Steinburg 83	FF Vaale-Nutteln	Amt Schenefeld	An der Schule 1, 25594 Vaale
Florian Steinburg 83-14-01	MZF		
Florian Steinburg 83-41-01	TSF-W		
Florian Steinburg 83-45-01	LF 8-6		
			
Florian Steinburg 84	FF Vaalermoor	Amt Schenefeld	Südende, 25594 Vaalermoor
Florian Steinburg 84-40-01	TSF		
			
Florian Steinburg 85	FF Wacken	Amt Schenefeld	Alter Markt, 25596 Wacken
Florian Steinburg 85-14-01	MZF		
Florian Steinburg 85-41-01	MLF		
Florian Steinburg 85-44-01	LF 8-6		
			
Florian Steinburg 86	FF Warringholz	Amt Schenefeld	Seefelder Weg 18, 25560 Warringholz
Florian Steinburg 86-41-01	TSF-W		
			
Florian Steinburg 87	FF Wilster	Stadt Wilster	An der Au 3, 25554 Wilster
Florian Steinburg 87-11-01	ELW 1		
Florian Steinburg 87-14-01	MZF		
Florian Steinburg 87-32-01	DLK 23/12		
Florian Steinburg 87-44-01	LF 8-6		
Florian Steinburg 87-48-01	LF 16-12		
Florian Steinburg 87-68-01	GW-L2		
			
Florian Steinburg 88	FF Aebtissinwisch-Ecklak	Amt Wilstermarsch	Hauptstraße 28a, 25572 Ecklak
Florian Steinburg 88-41-01	TSF-W		
			
Florian Steinburg 89	FF Beidenfleth	Amt Wilstermarsch	Deichreihe, 25573 Beidenfleth
Florian Steinburg 89-14-01	MZF		
Florian Steinburg 89-44-01	LF 8-6		
			
Florian Steinburg 90	FF Brokdorf	Amt Wilstermarsch	Dorfstraße, 25576 Brokdorf
Florian Steinburg 90-11-01	ELW 1		
Florian Steinburg 90-45-01	LF 8-6		
Florian Steinburg 90-46-01	LF 20		
Florian Steinburg 90-67-01	GW-L1		
Florian Steinburg 90-78-01	MRB		
			
Florian Steinburg 92	FF Damfleth	Amt Wilstermarsch	Hochfeld 13, 25554 Dammfleth
Florian Steinburg 92-47-01	LF 10		
			
Florian Steinburg 93	FF Kudensee	Amt Wilstermarsch	Dörpstroot, 25572 Kudensee
Florian Steinburg 93-40-01	TSF		
			
