Funkrufname	Fahrzeugtyp	Kommentare
Florian Stormarn 50-46-01	LF 20/30	
Florian Stormarn 50-48-01	HLF 20/16	
Florian Stormarn 50-49-01	LF-Sonder	ex LF 16/12 v.a. Personaltransport
Florian Stormarn 50-68-01	GW-L2	TH, TH-Gefahrgut, TP, Schläuche
Florian Stormarn 03-72-01	Reakertrkw	
	Anhänger Jugendfeuerwehr	
	Anhänger Logisitk Rollcontainer	
	Anhänger Stromerzeuger 100kVA	
		
		
Gemeinde Tangstedt		
FF Tangstedt 65	Dorfstraße 28	22889 Tangstedt
Florian Stormarn 65-14-01	MZF	
Florian Stormarn 65-44-01	LF 10	1.000l Wasser
Florian Stormarn 65-48-01	LF 16/12	1.600l Wasser
		
FF Wilstedt 66	Am Dorfpl. 7	22889 Tangstedt
Florian Stormarn 66-11-01	ELW 1	
Florian Stormarn 66-48-01	HLF 20/16	
Florian Stormarn 66-68-01	GW-L2	Schlauch, TS, TH-Container
	FwA-Ölschaden	
	FwA-Schlauchboot	
		
FF Wulksfelde 67	Rader Weg 192	22889 Tangstedt
Florian Stormarn 67-18-01	MTW	
Florian Stormarn 67-47-01	LF 20	2.400l Wasser
		
		
Amt Bad Oldesloe-Land		
FF Eichede 39	Kirchenstraße 1	22964 Steinburg
FF Grabau 47	Grover Weg 8	21493 Grabau
FF Klein Boden 36	Schlagenweg	23847 Rethwisch
FF Lasbek 42	In de Eck 21	23847 Lasbek
FF Meddewade 34	Hörn 5	23847 Meddewade
FF Mollhagen 40	Twiete 1	22964 Steinburg
FF Neritz 46	Schmiedeberg	23843 Neritz
FF Pölitz 37	Schulstraße 5	23847 Pölitz
FF Rethwischdorf 35	Am Sportpl.	23847 Rethwisch
FF Rohlfshagen 45	An de Sylsbek 1	23843 Rümpel
FF Rümpel 44	Lindenstraße 8a	23843 Rümpel
FF Schlamersdorf 49	Dorfstraße 4a	23843 Travenbrück
FF Schulenburg 38	Schulstraße 1	23847 Pölitz
FF Sprenge 41	Raumredder 22964	Steinburg
FF Sühlen 51	Zur Trave 23843	Travenbrück
FF Tralau 48	Schulstraße 29	23843 Travenbrück
		
		
Stadt Bad Oldesloe		
FF Bad Oldesloe 30	Lübecker Str. 38	23843 Bad Oldesloe
Florian Stormarn 30-10-01	KdoW	
Florian Stormarn 30-10-02	KdoW	
Florian Stormarn 30-11-01	ELW 1	
Florian Stormarn 30-18-01	MTW	
Florian Stormarn 30-18-02	MTW	
Florian Stormarn 30-25-01	TLF 24/50	
Florian Stormarn 30-32-01	DLA(K) 23/12	
Florian Stormarn 30-42-01	LF 8 (JF)	
Florian Stormarn 30-46-01	LF 20/16	
Florian Stormarn 30-48-01	HLF 20	
Florian Stormarn 30-48-02	LF 16/12	
Florian Stormarn 30-51-01	RW	
Florian Stormarn 30-67-01	GW-L1	Öl, Gefahrgut, Schaum, Rüst, Schlauch
		
FF Poggensee 31	Alte Dorfstraße 28	23896 Poggensee
Florian Stormarn 31-43-01	LF 8/6	
		
FF Rethwischfeld 33	Alte Ratzeburger Landstraße 1	23847 Rethwisch
Florian Stormarn 33-18-01	MTF	
Florian Stormarn 33-41-01	TSF-W	
		
FF Seefeld 32	Seefeld 3a	23843 Bad Oldesloe
Florian Stormarn 32-43-01	LF 10/6	
Florian Stormarn 32-61-01	SW 2000-Tr	
		
		
Amt Nordstormarn		
FF Badendorf 18	Dorfstraße 43a	23619 Badendorf
FF Barnitz 28	Schlitzer Weg 2-5	23858 Barnitz
FF Benstaben 29	Benstaben 1	23858 Barnitz
FF Groß Wesenberg 21	Mühlenkamp 2	23858 Wesenberg
FF Hamberge 19	Schulstraße 13A	23619 Hamberge
FF Havighorst 11	Havighorst 53	23858 Feldhorst
FF Heidekamp 14	Schulsteig 3	23858 Heidekamp
FF Heilshoop 16	Hauptstraße 45	23619 Heilshoop
FF Klein Wesenberg 24	Alte Dorfstraße 18A	23860 Klein Wesenberg
FF Mönkhagen-Langniendorf 17	Hauptstraße 29	23619 Mönkhagen
FF Pöhls 13	Dorfstraße 2	23619 Rehhorst
FF Ratzbek 22	Dorfstraße 46	23858 Wesenberg
FF Rehhorst 12	Up'n Knust 26	23619 Rehhorst
FF Steinfeld 10	Steinfeld 71	23858 Feldhorst
FF Stubbendorf 23	Bruhnkatener Weg 22	23858 Wesenberg
FF Trenthorst-Ahrensfelde 26	An der K 8	23847 Westerau Trenthorst 32
FF Westerau 25	Schulstraße 6	23847 Westerau
FF Zarpen 15	Teichstraße 18	23619 Zarpen
		
		
Stadt Reinfeld		
FF Reinfeld 20	Mahlmannstraße 1	23858 Reinfeld
		
WF Druckzentrum Ahrensburg	Alter Postweg 6	22926 Ahrensburg
		
BTF Aspen	Industriestraße 32	23843 Bad Oldesloe
Florian Stormarn 30-21-05	TLF 8/24	
Florian Stormarn 30-41-05	MLF	
		
Feuerwehrtachnische Zentrale	Lindenstraße 82	23843 Travenbrück
