Freiwillige Feuerwehr Landkreis Rotenburg		
		
Kreisfeuerwehr		
Ortsfeuerwehr Vorwerk	Lange Straße 6	27412 Vorwerk
Florian Rotenburg 23-40-46	TSF	Bj 2012
	FwA-Schlauch	2 kleine Haspeln,...
		
Freiwillige Feuerwehr Rotenburg	Mittelweg 21	27356 Rotenburg
Florian Rotenburg 31-10-11	KdoW	
Florian Rotenburg 31-11-11	ELW 1	
Florian Rotenburg 31-17-11	MTW	
Florian Rotenburg 31-47-11	LF 20	
Florian Rotenburg 31-47-12	LF 16/12	
Florian Rotenburg 31-48-11	HLF 20/16	
Florian Rotenburg 31-30-11	DLAK 23/12	Neufahrzeug 2022
Florian Rotenburg 31-52-11	RW	
Florian Rotenburg 31-59-11	GW-Bahn	
Florian Rotenburg 31-65-11	WLF	
Florian Rotenburg 31-66-11	WLF	
	AB-Sonderlöschmittel	
	AB-Schlauch	
	AB-Mulde	
		
Ortsfeuerwehr Borchel	Borcheler Damm	27356 Rotenburg
Florian Rotenburg 31-40-13	TSF	
		
Ortsfeuerwehr Mulmshorn	Zum Glind	27356 Rotenburg
Florian Rotenburg 31-45-14	LF 8/6	Bj. 1998
		
Ortsfeuerwehr Waffensen	Unter den Eichen 27	27356 Rotenburg
Florian Rotenburg 31-45-15	LF 8/6	
Florian Rotenburg 31-23-15	TLF 16/25	
		
Ortsfeuerwehr Unterstedt	Buschestücken	27356 Rotenburg
Florian Rotenburg 31-43-21	LF 10	
Florian Rotenburg 31-21-21	TLF 16/24	
		
Freiwillige Feuerwehr Stadt Visselhövede		
Ortsfeuerwehr Visselhövede	Burgstraße 5	27374 Visselhövede
Florian Rotenburg 32-10-01	KdoW	Stadtbrandmeister a.D.?
Florian Rotenburg 32-17-21	MTW	
Florian Rotenburg 32-19-21	ELW / KdoW	
Florian Rotenburg 32-21-21	TLF 16/24-Tr	
Florian Rotenburg 32-48-21	HLF 20/16	
Florian Rotenburg 32-52-21	RW 2	Kreisfeuerw.-Süd
Florian Rotenburg 85-17-31	MTW	steht in Hiddingen
