Feuerwehr Bremen		
		
Florian Flughafen 43/1	HLF 20	
Florian Flughafen 65/1	WLF	
Florian Flughafen 89/1	First Responder	
		
Abrollbehälter:		
Florian Flughafen 69-1	AB Umweltschutz & Gefahrgut	
Florian Flughafen 69-2	AB Bergung	
Florian Flughafen 69-3	AB Flugzeugbergung	
	FwA- Sanität	
	Teleskoplader Merlo	in grün zur Bergung
