Funkkennung	Fahrzeugtyp	Fahrgestell	Baujahr	Kennzeichen	Info
	AB Atemschutz				AB-Atemschutz mit Atemschutzgeräten und Chemikalienschutzanzügen
	AB-Aufenthalt				
	AB-Logistik				
	AB-Mulde				
	Anhänger Transport				
	Anhänger Jugend/TS				
	Anhänger Umweltschutz				
					
21	Raa-Besenbek	Dorfstraße 23a	25335 Raa-Besenbek		
Florian Pinneberg 21-41-01	TSF-W	MAN LE 140 C	2002	PI-2099	
	Anh-Tansport				
					
22	Klein Nordende	Schulstraße 35	25336 Klein Nordende		
Florian Pinneberg 22-11-01	ELW 1	Ford Transit 125 T 350	2004	PI-2102	
Florian Pinneberg 22-18-01	MTW	Ford Transit 130 T 350	2020	PI-FF 2218	
Florian Pinneberg 22-40-01	TSF	MB Sprinter 310 D	1999	PI-2755	
Florian Pinneberg 22-45-01	LF 10/6	MB Atego 925 AFE	2004	PI-2059	
Florian Pinneberg 22-48-01	HLF 20	MB Atego 1630 AF	2019		
	Anhänger Schiene		2004	PI-2799	Aufgleisvorrichtung
					
23	Kölln-Reisiek	Sandfohrt 1	25337 Kölln-Reisiek		
Florian Pinneberg 23-42-01	LF 8	MB 814	1992		Geld für neues LF-KatS im Haushalt 2024 eingeplant
Florian Pinneberg 23-43-01	LF 8/6	DaimlerCrysler Atego	2001		
Florian Pinneberg 23-48-01	HLF 10	MB Atego 1426 F	2010	PI-KR 112	2.000er Pumpe, 2.000l Wasser
	Anh-Transport				
	MTW Jugendfeuerwehr				
					
24	Kl. Offenseth-Sparrieshoop	Rosenstraße 49	25365 Klein Offenseth-Sparrieshop		
Florian Pinneberg 24-11-01	ELW 1	VW T5	2007	PI-FF 2411	
Florian Pinneberg 24-14-01	MZF	MB Sprinter	1999	PI-2433	
Florian Pinneberg 24-48-01	HLF 20/16	MAN	2005	PI-2442	
Florian Pinneberg 24-48-02	LF 10	MAN TGM 13.290 4x4	2016	PI-FF 2448	
					
25	Seeth-Ekholt	Schulstraße 4	25337 Seeth-Ekholt		
Florian Pinneberg 25-18-01	MTW	Ford Transit	2004	PI-FW 25	
Florian Pinneberg 25-22-01	TLF 3000	IVECO Eurocargo 150 E 300	2022	PI-FW 2522	
Florian Pinneberg 25-48-01	LF 10 TH	IVECO Eurocarco 150	2020	PI-FW 2548	
					
26	Seester	Schulsteig 2	25370 Seester		
Florian Pinneberg 26-11-01	ELW 1	MB Sprinter 416 CDI	2021	PI-FW 26	
Florian Pinneberg 26-44-01	LF 8/6	MB 814 F	1996	PI-2958	
Florian Pinneberg 26-48-01	LF 10-TH	MB Atego 1326 F	2016		
	Anh-Transport	Böckmann	2013		
					
27	Seestermühe	
Florian Pinneberg 27-14-01	MZF				
Florian Pinneberg 27-42-01	LF 8	MB L 508 D	1983	PI-2196	
Florian Pinneberg 27-45-01	LF 8/6	MB Atego 815 F	2002	PI-2252	
	Anh-Schlauch				
	Anh-Transport 				FwA-Transport (Musikzug)
	Anh-Transport				FwA-Transport (Jugendfeuerwehr)
					
28	Helgoland (Unterland)	Florian Pinneberg 18-11-01	ELW 1	MB Sprinter 315 CDI	2011	PI-FH 808	
		Florian Pinneberg 28-30-01	DL(A)K 12/9	MB Atego 924 F	2011	PI-FH 80	
		Florian Pinneberg 28-41-01	KLF				
		Florian Pinneberg 28-41-02	TSF-W	MB Vario 612 D	1998	PI-2614	
			Anhängeleiter AL 16/4				
			Anh-Schlauch				
			Anh-Transport				
							
	Helgoland (Oberland)	Florian Pinneberg 28-18-01	MTW				
		Florian Pinneberg 28-20-01	TLF 2000				
		Florian Pinneberg 28-49-01	KLF	MB Sprinter 313 CDI	2004	PI-2353	
							
	Helgoland (Düne)	Florian Pinneberg 28-20-02	TLF 2000 St.				
							
30	Wedel	Florian Pinneberg 30-10-01	KdoW	VW Passat B7	2015	PI-FW 3016	
		Florian Pinneberg 30-11-01	ELW	MB Sprinter 519 CDI 4x4 	2017	PI-FW 3011	
		Florian Pinneberg 30-14-01	MZF	MB Sprinter 06 	2009	PI-FW 14	
		Florian Pinneberg 30-18-01	MTW	MB Sprinter 06 	2009	PI-FW 19	
		Florian Pinneberg 30-18-02	MTW	VW T5	2011	PI-FW 3019	
		Florian Pinneberg 30-25-01	TLF 4000	MAN TGM 18.340 4x4 BB	2013	PI-FW 3025	
		Florian Pinneberg 30-32-01	DLK 23/12	MAN 15.285 LC	2003	PI-2150	
		Florian Pinneberg 30-41-01	MLF	MAN TGL 8.180 4x2 BL	2014	PI-FW 3043	
		Florian Pinneberg 30-43-01	LF 10/6	MB Atego 1225 AFE	2007	PI-FW 342	
		Florian Pinneberg 30-46-01	LF 20	MAN TGM 13.290	2010	PI-FW 441	
		Florian Pinneberg 30-48-01	HLF 1	MAN TGM 18.340 4x4	2019	PI-FW 4801	
		Florian Pinneberg 30-48-02	HLF 2	MAN TGM 18.340 4x4	2018	PI-FW 4802	
		Florian Pinneberg 30-63-01	WLF	MAN TGS 28.320 6x4-4 BL	2012	PI-FW 3065	
		Florian Pinneberg 30-64-01	WLF Kran	MAN	2021		Neufahrzeug Oktober 2021
		Florian Pinneberg 30-68-01	GW Gefahrgut / Logistik	MB 1426 AF Atego	2008	PI-FW 59	
		Florian Pinneberg 30-69-01	Gabelstapler	Jungheinrich	2010		
		Florian Pinneberg 30-78-01	Mehrzweckboot Bgm. Balack				
		Florian Pinneberg 30-78-02	Mehrzweckboot Bgm. Kahlert				
			AB-Atemschutz	GSF	2012		
			AB-Technische Hilfeleistung	GSF	2017		
			AB-Hochwasser	Roland-Tankbau	1991		
			AB-Mulde				
			AB-Transport	Roland-Tankbau	1991		
			AB-Ölwehr 1 	Bruhns			
			AB-Ölwehr 2 	Bruhns			
			AB-Ölwehr 3	Bruhns			
			AB-Löschwasser	GSF	2020		
			AB-Aufenthalt/Führung		2021?		
			Anh-Mehrzweck	Firma Koch	2003	PI-2144	
			Anh-Mehrzweck	Voss Karroseriebau	2012	PI-FW 3030	
			Anh-Stromerzeuger	Polyma Energiesysteme	2010		
							
